Title,Year,Director,Casting,Ratings,genre
The Dead Zone,1983,David Cronenberg,"Christopher Walken,Brooke Adams,Tom Skerritt,Herbert Lom",89,horror
The Orphanage,2007,J.A. Bayona,"Belén Rueda,Fernando Cayo,Roger Príncep,Mabel Rivera",87,horror
Duel,1972,Steven Spielberg,"Dennis Weaver,Tim Herbert,Charles Seel,Jacqueline Scott",88,horror
The Shining,1980,Stanley Kubrick,"Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers",84,horror
The Fall of the House of Usher,1960,Roger Corman,"Vincent Price,Mark Damon,Myrna Fahey,Harry Ellerbe",90,horror
The Blair Witch Project,1999,Eduardo Sánchez,"Heather Donahue,Michael C. Williams,Joshua Leonard,Bob Griffith",86,horror
The Devil's Candy,2017,Sean Byrne,"Ethan Embry,Shiri Appleby,Pruitt Taylor Vince,Kiara Glasco",92,horror
Gerald's Game,2017,Mike Flanagan,"Carla Gugino,Bruce Greenwood,Henry Thomas,Chiara Aurelia",91,horror
28 Days Later,2003,Danny Boyle,"Cillian Murphy,Naomie Harris,Brendan Gleeson,Megan Burns",87,horror
Prevenge,2017,Alice Lowe,"Alice Lowe,Gemma Whelan,Kate Dickie,Jo Hartley",91,horror
Demon,2016,Marcin Wrona,"Itay Tiran,Agnieszka Zulewska,Andrzej Grabowski,Tomasz Schuchardt",92,horror
Bone Tomahawk,2015,S. Craig Zahler,"Kurt Russell,Lili Simmons,Matthew Fox,Patrick Wilson",91,horror
Fright Night,1985,Tom Holland,"Chris Sarandon,Roddy McDowall,William Ragsdale,Amanda Bearse",92,horror
The Wicker Man,1973,Robin Hardy,"Edward Woodward,Britt Ekland,Diane Cilento,Ingrid Pitt",89,horror
Nina Forever,2016,Ben Blaine,"Fiona O'Shaughnessy,Abigail Hardingham,David Troughton,Cian Barry",94,horror
The Conjuring,2013,James Wan,"Vera Farmiga,Patrick Wilson,Ron Livingston,Lili Taylor",86,horror
Color Out of Space,2020,Richard Stanley,"Nicolas Cage,Joely Richardson,Madeleine Arthur,Brendan Meyer",86,horror
Misery,1990,Rob Reiner,"Kathy Bates,James Caan,Richard Farnsworth,Frances Sternhagen",90,horror
Island of Lost Souls,1933,Erle C. Kenton,"Charles Laughton,Richard Arlen,Leila Hyams,Bela Lugosi",88,horror
Let Me In,2010,Matt Reeves,"Kodi Smit-McPhee,Chloë Grace Moretz ,Richard Jenkins,Cara Buono",88,horror
The Mummy,1932,Karl W. Freund,"Boris Karloff,Zita Johann,David Manners,Edward Van Sloan",88,horror
Theater of Blood (Theatre of Blood) (Much Ado About Murder),1973,Douglas Hickox,"Vincent Price,Diana Rigg,Ian Hendry,Milo O'Shea",93,horror
Horror of Dracula,1958,Terence Fisher,"Christopher Lee,Peter Cushing,Michael Gough,Melissa Stribling",90,horror
Dr. Jekyll and Mr. Hyde,1931,Rouben Mamoulian,"Fredric March,Miriam Hopkins,Rose Hobart,Holmes Herbert",90,horror
Halloween,2018,David Gordon Green,"Jamie Lee Curtis,Judy Greer,Andi Matichak,Will Patton",79,horror
Attack the Block,2011,Joe Cornish,"John Boyega,Jodie Whittaker,Alex Esmail,Franz Drameh",90,horror
